country,year,source,scenario,period_type,temperature_c,baseline_temp_c,temperature_anomaly_c
ES,2004,ERA5,historical,historical,15.06365050005005,15.562609390611195,-0.49895889056114484
ES,2005,ERA5,historical,historical,14.96299557160196,15.562609390611195,-0.5996138190092353
ES,2006,ERA5,historical,historical,15.730803033066003,15.562609390611195,0.16819364245480806
ES,2007,ERA5,historical,historical,14.922351130301694,15.562609390611195,-0.6402582603095013
ES,2008,ERA5,historical,historical,14.862431743783908,15.562609390611195,-0.7001776468272869
ES,2009,ERA5,historical,historical,15.515680200054868,15.562609390611195,-0.046929190556326716
ES,2010,ERA5,historical,historical,14.894023369440388,15.562609390611195,-0.6685860211708068
ES,2011,ERA5,historical,historical,15.762127669542501,15.562609390611195,0.19951827893130591
ES,2012,ERA5,historical,historical,15.2018061392278,15.562609390611195,-0.36080325138339475
ES,2013,ERA5,historical,historical,14.985067395010137,15.562609390611195,-0.5775419956010577
ES,2014,ERA5,historical,historical,15.719737812739453,15.562609390611195,0.15712842212825784
ES,2015,ERA5,historical,historical,15.834434833693392,15.562609390611195,0.27182544308219647
ES,2016,ERA5,historical,historical,15.675723289012556,15.562609390611195,0.11311389840136066
ES,2017,ERA5,historical,historical,16.007002143779253,15.562609390611195,0.44439275316805826
ES,2018,ERA5,historical,historical,15.30634115745566,15.562609390611195,-0.2562682331555344
ES,2019,ERA5,historical,historical,15.58193527912222,15.562609390611195,0.019325888511025013
ES,2022,ERA5,historical,historical,16.48450242349012,15.562609390611195,0.9218930328789252
ES,2023,ERA5,historical,historical,16.338089327525264,15.562609390611195,0.7754799369140688
ES,2024,ERA5,historical,historical,16.16442807512216,15.562609390611195,0.601818684510965
ES,2025,ERA5,historical,historical,16.239056718204495,15.562609390611195,0.6764473275932996
FR,2004,ERA5,historical,historical,11.5313787849997,12.101099397926337,-0.5697206129266377
FR,2005,ERA5,historical,historical,11.551481081186518,12.101099397926337,-0.549618316739819
FR,2006,ERA5,historical,historical,12.154993287899769,12.101099397926337,0.05389388997343225
FR,2007,ERA5,historical,historical,11.845430574317742,12.101099397926337,-0.25566882360859466
FR,2008,ERA5,historical,historical,11.496722296053372,12.101099397926337,-0.6043771018729647
FR,2009,ERA5,historical,historical,11.804215715918327,12.101099397926337,-0.2968836820080103
FR,2010,ERA5,historical,historical,10.788122085623327,12.101099397926337,-1.3129773123030102
FR,2011,ERA5,historical,historical,12.4425450192732,12.101099397926337,0.34144562134686396
FR,2012,ERA5,historical,historical,11.639830323808278,12.101099397926337,-0.46126907411805895
FR,2013,ERA5,historical,historical,11.295568470031755,12.101099397926337,-0.8055309278945817
FR,2014,ERA5,historical,historical,12.552781694963679,12.101099397926337,0.4516822970373422
FR,2015,ERA5,historical,historical,12.316040583138093,12.101099397926337,0.21494118521175665
FR,2016,ERA5,historical,historical,11.943851015142426,12.101099397926337,-0.1572483827839104
FR,2017,ERA5,historical,historical,12.136128954010996,12.101099397926337,0.035029556084658964
FR,2018,ERA5,historical,historical,12.60843053241131,12.101099397926337,0.5073311344849731
FR,2019,ERA5,historical,historical,12.390042528894233,12.101099397926337,0.2889431309678958
FR,2022,ERA5,historical,historical,13.213068557842437,12.101099397926337,1.1119691599161001
FR,2023,ERA5,historical,historical,13.041511855718326,12.101099397926337,0.9404124577919895
FR,2024,ERA5,historical,historical,12.557104804637213,12.101099397926337,0.45600540671087586
FR,2025,ERA5,historical,historical,12.712739792656043,12.101099397926337,0.6116403947297062
IT,2004,ERA5,historical,historical,14.713900383354925,15.381967536561376,-0.6680671532064508
IT,2005,ERA5,historical,historical,14.282440013861113,15.381967536561376,-1.0995275227002637
IT,2006,ERA5,historical,historical,14.979704779581404,15.381967536561376,-0.4022627569799724
IT,2007,ERA5,historical,historical,15.17789206880055,15.381967536561376,-0.20407546776082697
IT,2008,ERA5,historical,historical,15.076148353191257,15.381967536561376,-0.3058191833701187
IT,2009,ERA5,historical,historical,15.158260672283213,15.381967536561376,-0.22370686427816366
IT,2010,ERA5,historical,historical,14.520727552170063,15.381967536561376,-0.8612399843913128
IT,2011,ERA5,historical,historical,15.219084850772079,15.381967536561376,-0.1628826857892971
IT,2012,ERA5,historical,historical,15.282988602448393,15.381967536561376,-0.0989789341129832
IT,2013,ERA5,historical,historical,15.024872560043207,15.381967536561376,-0.35709497651816946
IT,2014,ERA5,historical,historical,15.572494813075846,15.381967536561376,0.19052727651446943
IT,2015,ERA5,historical,historical,15.585854385675603,15.381967536561376,0.20388684911422672
IT,2016,ERA5,historical,historical,15.415878809460697,15.381967536561376,0.03391127289932072
IT,2017,ERA5,historical,historical,15.341510909854437,15.381967536561376,-0.0404566267069395
IT,2018,ERA5,historical,historical,15.771146258382222,15.381967536561376,0.389178721820846
IT,2019,ERA5,historical,historical,15.617034083215772,15.381967536561376,0.2350665466543962
IT,2022,ERA5,historical,historical,16.22726539498103,15.381967536561376,0.8452978584196522
IT,2023,ERA5,historical,historical,16.177918866598112,15.381967536561376,0.7959513300367362
IT,2024,ERA5,historical,historical,16.374787782588708,15.381967536561376,0.9928202460273319
IT,2025,ERA5,historical,historical,16.119439590888923,15.381967536561376,0.7374720543275473
